num;ACT;RNN;TASK;D;L;CURR;DONE
1;2;rnn;sum;8;1;FALSE;
2;4;rnn;sum;8;1;FALSE;
3;2;lstm;sum;8;1;FALSE;
4;4;lstm;sum;8;1;FALSE;
5;2;rnn;sum;16;3;FALSE;
6;4;rnn;sum;16;3;FALSE;
7;2;lstm;sum;16;3;FALSE;
8;4;lstm;sum;16;3;FALSE;
9;2;rnn;dif;8;1;FALSE;
10;4;rnn;dif;8;1;FALSE;
11;2;lstm;dif;8;1;FALSE;
12;4;lstm;dif;8;1;FALSE;
13;2;rnn;dif;16;3;FALSE;
14;4;rnn;dif;16;3;FALSE;
15;2;lstm;dif;16;3;FALSE;
16;4;lstm;dif;16;3;FALSE;
17;2;rnn;sum;16;3;TRUE;
18;4;rnn;sum;16;3;TRUE;
19;2;lstm;sum;16;3;TRUE;
20;4;lstm;sum;16;3;TRUE;
21;2;rnn;dif;16;3;TRUE;
22;4;rnn;dif;16;3;TRUE;
23;2;lstm;dif;16;3;TRUE;
24;4;lstm;dif;16;3;TRUE;
25;0;rnn;sum;10;1;TRUE;
